source_distribution,dimension,max_val,encoding_max_val,beta,rate,distortion,coverage,source_precision,source_min_precision,channel,expected_precision,precision_sd,min_precision,max_precision,vocabulary_size,min_precision_at_0.5,vocabulary_size_at_0.5,min_precision_at_0.9,vocabulary_size_at_0.9,min_precision_at_0.99,vocabulary_size_at_0.99,min_precision_at_0.999,vocabulary_size_at_0.999
decreasing,3,21,20,0.062,-1.0684879027409444e-16,11.079815955630252,0.99,23.156634420735507,3.0,"decreasing, max_val=21",9.000000000000002,3.388089815215652e-08,9,9,1,9,1,9,1,9,1,9,1
decreasing,3,21,20,0.087,1.5251972120854162e-18,11.079815955630252,0.99,23.156634420735507,3.0,"decreasing, max_val=21",9.0,7.320494750452593e-09,9,9,1,9,1,9,1,9,1,9,1
decreasing,3,21,20,0.122,1.785264772663614e-15,11.079815955630242,0.99,23.156634420735507,3.0,"decreasing, max_val=21",9.000000000000036,1.8257750075032433e-07,9,9,1,9,1,9,1,9,1,9,1
decreasing,3,21,20,0.171,0.1661576887201041,10.065222439259216,0.99,23.156634420735507,3.0,"decreasing, max_val=21",9.000000363380927,0.0006028113438227,9,9,7,9,1,9,6,9,7,9,7
decreasing,3,21,20,0.238,0.8065439372405279,6.865770242282728,0.99,23.156634420735507,3.0,"decreasing, max_val=21",10.809618809191152,0.3926018250021957,10,11,12,11,5,10,9,10,12,10,12
decreasing,3,21,20,0.333,1.3584151639352382,4.901491139131114,0.99,23.156634420735507,3.0,"decreasing, max_val=21",12.755221814818867,0.4299563469035257,12,13,12,13,6,12,11,12,12,12,12
decreasing,3,21,20,0.465,1.843161953962459,3.6676590161529368,0.99,23.156634420735507,3.0,"decreasing, max_val=21",14.336056045520316,1.0099109608987242,12,16,30,13,9,12,23,12,30,12,33
decreasing,3,21,20,0.65,2.405461568349221,2.644650892600838,0.99,23.156634420735507,3.0,"decreasing, max_val=21",15.651542562494154,1.3371796857763514,13,18,57,13,13,13,36,13,57,12,60
decreasing,3,21,20,0.909,2.94785766405085,1.9352548616718055,0.99,23.156634420735507,3.0,"decreasing, max_val=21",16.672540881510375,1.966949899308058,12,20,70,14,19,13,52,12,70,12,72
decreasing,3,21,20,1.27,3.4894877272704803,1.4296259168773495,0.99,23.156634420735507,3.0,"decreasing, max_val=21",17.68630000132814,2.643912317800121,6,23,107,14,30,6,71,6,107,6,117
decreasing,3,21,20,1.775,4.0346531547085185,1.0652532804409691,0.99,23.156634420735507,3.0,"decreasing, max_val=21",18.666926441675905,3.5039657843057763,5,25,153,14,39,7,110,5,153,5,164
decreasing,3,21,20,2.48,4.642768178867998,0.7747828869455586,0.99,23.156634420735507,3.0,"decreasing, max_val=21",19.617907367453913,4.525075064116513,3,28,283,10,89,5,214,3,283,3,306
