source_distribution,dimension,max_val,encoding_max_val,beta,distortion_metric,rate,distortion,marginal_consistency_gap,marginal_entropy_bits,marginal_perplexity,n_outputs_90_pct_mass,n_outputs_used,rank,output_index,pseudocounts,concentration,mean_probs,marginal_prob,cumulative_prob
decreasing,3,21,20,0.062,jeff_divergence,-1.0684879027409443e-16,11.079815955630252,1.0880185641326534e-14,1.2813706015259665e-15,1.0000000000000009,1,1,1,842,"(3, 3, 3)",9,"(0.333, 0.333, 0.333)",0.9999999999999991,0.9999999999999991
decreasing,3,21,20,0.062,jeff_divergence,-1.0684879027409443e-16,11.079815955630252,1.0880185641326534e-14,1.2813706015259665e-15,1.0000000000000009,1,1,2,862,"(3, 4, 3)",10,"(0.300, 0.400, 0.300)",3.253456907304141e-16,0.9999999999999994
decreasing,3,21,20,0.062,jeff_divergence,-1.0684879027409443e-16,11.079815955630252,1.0880185641326534e-14,1.2813706015259665e-15,1.0000000000000009,1,1,3,843,"(4, 3, 3)",10,"(0.400, 0.300, 0.300)",3.25345690730412e-16,0.9999999999999998
decreasing,3,21,20,0.062,jeff_divergence,-1.0684879027409443e-16,11.079815955630252,1.0880185641326534e-14,1.2813706015259665e-15,1.0000000000000009,1,1,4,1242,"(3, 3, 4)",10,"(0.300, 0.300, 0.400)",3.2534569073041153e-16,1.0
decreasing,3,21,20,0.062,jeff_divergence,-1.0684879027409443e-16,11.079815955630252,1.0880185641326534e-14,1.2813706015259665e-15,1.0000000000000009,1,1,5,1263,"(4, 4, 4)",12,"(0.333, 0.333, 0.333)",1.90899284772972e-17,1.0
decreasing,3,21,20,0.062,jeff_divergence,-1.0684879027409443e-16,11.079815955630252,1.0880185641326534e-14,1.2813706015259665e-15,1.0000000000000009,1,1,6,1262,"(3, 4, 4)",11,"(0.273, 0.364, 0.364)",5.634883019846721e-21,1.0
decreasing,3,21,20,0.062,jeff_divergence,-1.0684879027409443e-16,11.079815955630252,1.0880185641326534e-14,1.2813706015259665e-15,1.0000000000000009,1,1,7,863,"(4, 4, 3)",11,"(0.364, 0.364, 0.273)",5.634883019846698e-21,1.0
decreasing,3,21,20,0.062,jeff_divergence,-1.0684879027409443e-16,11.079815955630252,1.0880185641326534e-14,1.2813706015259665e-15,1.0000000000000009,1,1,8,1243,"(4, 3, 4)",11,"(0.364, 0.273, 0.364)",5.634883019846672e-21,1.0
decreasing,3,21,20,0.062,jeff_divergence,-1.0684879027409443e-16,11.079815955630252,1.0880185641326534e-14,1.2813706015259665e-15,1.0000000000000009,1,1,9,421,"(2, 2, 2)",6,"(0.333, 0.333, 0.333)",1.3447592097712286e-22,1.0
decreasing,3,21,20,0.062,jeff_divergence,-1.0684879027409443e-16,11.079815955630252,1.0880185641326534e-14,1.2813706015259665e-15,1.0000000000000009,1,1,10,822,"(3, 2, 3)",8,"(0.375, 0.250, 0.375)",7.434548542673692e-25,1.0
decreasing,3,21,20,0.08700000000000001,jeff_divergence,1.5251972120854162e-18,11.079815955630252,1.0436096431476471e-14,-0.0,1.0,1,1,1,842,"(3, 3, 3)",9,"(0.333, 0.333, 0.333)",1.0,1.0
decreasing,3,21,20,0.08700000000000001,jeff_divergence,1.5251972120854162e-18,11.079815955630252,1.0436096431476471e-14,-0.0,1.0,1,1,2,843,"(4, 3, 3)",10,"(0.400, 0.300, 0.300)",1.7863120887800624e-17,1.0
