generation,timestep,channel_beta,rate,distortion,expected_true_probs_surprisal,prop_max_hit
0,0,0.0625,1.3963072167215212e-05,11.167619424429674,0.6931471805599441,0.0
0,1,0.0625,1.3963072167215212e-05,11.167619424429674,0.9899409166847176,0.0
1,0,0.0625,1.3963072167215212e-05,11.167619424429674,-0.6791368989900602,0.0
1,1,0.0625,1.3963072167215212e-05,11.167619424429674,-0.3823431422486726,8.19389269160508e-151
2,0,0.0625,1.3963072167215212e-05,11.167619424429674,-0.6791421250109296,0.0
2,1,0.0625,1.3963072167215212e-05,11.167619424429674,-0.3823483643591349,1.4878830183320606e-150
3,0,0.0625,1.3963072167215212e-05,11.167619424429674,-0.6791421250147024,0.0
3,1,0.0625,1.3963072167215212e-05,11.167619424429674,-0.3823483643629057,1.4878834592616083e-150
4,0,0.0625,1.3963072167215212e-05,11.167619424429674,-0.6791421250147023,0.0
4,1,0.0625,1.3963072167215212e-05,11.167619424429674,-0.3823483643629057,1.4878834592619285e-150
5,0,0.0625,1.3963072167215212e-05,11.167619424429674,-0.6791421250147022,0.0
5,1,0.0625,1.3963072167215212e-05,11.167619424429674,-0.3823483643629056,1.4878834592619285e-150
6,0,0.0625,1.3963072167215212e-05,11.167619424429674,-0.6791421250147022,0.0
6,1,0.0625,1.3963072167215212e-05,11.167619424429674,-0.3823483643629056,1.4878834592619282e-150
7,0,0.0625,1.3963072167215212e-05,11.167619424429674,-0.6791421250147022,0.0
7,1,0.0625,1.3963072167215212e-05,11.167619424429674,-0.3823483643629056,1.4878834592619282e-150
8,0,0.0625,1.3963072167215212e-05,11.167619424429674,-0.6791421250147022,0.0
8,1,0.0625,1.3963072167215212e-05,11.167619424429674,-0.3823483643629056,1.4878834592619282e-150
9,0,0.0625,1.3963072167215212e-05,11.167619424429674,-0.6791421250147022,0.0
9,1,0.0625,1.3963072167215212e-05,11.167619424429674,-0.3823483643629056,1.4878834592619282e-150
10,0,0.0625,1.3963072167215212e-05,11.167619424429674,-0.6791421250147022,0.0
10,1,0.0625,1.3963072167215212e-05,11.167619424429674,-0.3823483643629056,1.4878834592619282e-150
11,0,0.0625,1.3963072167215212e-05,11.167619424429674,-0.6791421250147022,0.0
11,1,0.0625,1.3963072167215212e-05,11.167619424429674,-0.3823483643629056,1.4878834592619282e-150
12,0,0.0625,1.3963072167215212e-05,11.167619424429674,-0.6791421250147022,0.0
12,1,0.0625,1.3963072167215212e-05,11.167619424429674,-0.3823483643629056,1.4878834592619282e-150
13,0,0.0625,1.3963072167215212e-05,11.167619424429674,-0.6791421250147022,0.0
