generation,timestep,channel_beta,rate,distortion,expected_true_probs_surprisal,prop_max_hit
0,0,0.0625,2.778560942844257e-08,11.07981596673908,0.6931471805599441,0.0
0,1,0.0625,2.778560942844257e-08,11.07981596673908,0.9899409166847176,0.0
1,0,0.0625,2.778560942844257e-08,11.07981596673908,-0.01223455645718269,0.0
1,1,0.0625,2.778560942844257e-08,11.07981596673908,0.28455918007876846,0.0
2,0,0.0625,2.778560942844257e-08,11.07981596673908,-0.012234557382697266,0.0
2,1,0.0625,2.778560942844257e-08,11.07981596673908,0.2845591792055755,0.0
3,0,0.0625,2.778560942844257e-08,11.07981596673908,-0.012234557382697265,0.0
3,1,0.0625,2.778560942844257e-08,11.07981596673908,0.2845591792055755,0.0
4,0,0.0625,2.778560942844257e-08,11.07981596673908,-0.012234557382697265,0.0
4,1,0.0625,2.778560942844257e-08,11.07981596673908,0.2845591792055755,0.0
5,0,0.0625,2.778560942844257e-08,11.07981596673908,-0.012234557382697265,0.0
5,1,0.0625,2.778560942844257e-08,11.07981596673908,0.2845591792055755,0.0
6,0,0.0625,2.778560942844257e-08,11.07981596673908,-0.012234557382697265,0.0
6,1,0.0625,2.778560942844257e-08,11.07981596673908,0.2845591792055755,0.0
7,0,0.0625,2.778560942844257e-08,11.07981596673908,-0.012234557382697265,0.0
7,1,0.0625,2.778560942844257e-08,11.07981596673908,0.2845591792055755,0.0
8,0,0.0625,2.778560942844257e-08,11.07981596673908,-0.012234557382697265,0.0
8,1,0.0625,2.778560942844257e-08,11.07981596673908,0.2845591792055755,0.0
9,0,0.0625,2.778560942844257e-08,11.07981596673908,-0.012234557382697265,0.0
9,1,0.0625,2.778560942844257e-08,11.07981596673908,0.2845591792055755,0.0
10,0,0.0625,2.778560942844257e-08,11.07981596673908,-0.012234557382697265,0.0
10,1,0.0625,2.778560942844257e-08,11.07981596673908,0.2845591792055755,0.0
11,0,0.0625,2.778560942844257e-08,11.07981596673908,-0.012234557382697265,0.0
11,1,0.0625,2.778560942844257e-08,11.07981596673908,0.2845591792055755,0.0
12,0,0.0625,2.778560942844257e-08,11.07981596673908,-0.012234557382697265,0.0
12,1,0.0625,2.778560942844257e-08,11.07981596673908,0.2845591792055755,0.0
13,0,0.0625,2.778560942844257e-08,11.07981596673908,-0.012234557382697265,0.0
13,1,0.0625,2.778560942844257e-08,11.07981596673908,0.2845591792055755,0.0
14,0,0.0625,2.778560942844257e-08,11.07981596673908,-0.012234557382697265,0.0
14,1,0.0625,2.778560942844257e-08,11.07981596673908,0.2845591792055755,0.0
15,0,0.0625,2.778560942844257e-08,11.07981596673908,-0.012234557382697265,0.0
15,1,0.0625,2.778560942844257e-08,11.07981596673908,0.2845591792055755,0.0
16,0,0.0625,2.778560942844257e-08,11.07981596673908,-0.012234557382697265,0.0
16,1,0.0625,2.778560942844257e-08,11.07981596673908,0.2845591792055755,0.0
17,0,0.0625,2.778560942844257e-08,11.07981596673908,-0.012234557382697265,0.0
17,1,0.0625,2.778560942844257e-08,11.07981596673908,0.2845591792055755,0.0
18,0,0.0625,2.778560942844257e-08,11.07981596673908,-0.012234557382697265,0.0
18,1,0.0625,2.778560942844257e-08,11.07981596673908,0.2845591792055755,0.0
19,0,0.0625,2.778560942844257e-08,11.07981596673908,-0.012234557382697265,0.0
19,1,0.0625,2.778560942844257e-08,11.07981596673908,0.2845591792055755,0.0
0,0,0.0873383218223026,7.110890544465011e-09,11.079815955537336,0.6931471805599441,0.0
0,1,0.0873383218223026,7.110890544465011e-09,11.079815955537336,0.9899409166847176,0.0
1,0,0.0873383218223026,7.110890544465011e-09,11.079815955537336,-0.012234541322512858,0.0
1,1,0.0873383218223026,7.110890544465011e-09,11.079815955537336,0.28455919488892306,0.0
2,0,0.0873383218223026,7.110890544465011e-09,11.079815955537336,-0.012234541564151883,0.0
2,1,0.0873383218223026,7.110890544465011e-09,11.079815955537336,0.28455919466413104,0.0
3,0,0.0873383218223026,7.110890544465011e-09,11.079815955537336,-0.01223454156415188,0.0
3,1,0.0873383218223026,7.110890544465011e-09,11.079815955537336,0.28455919466413104,0.0
4,0,0.0873383218223026,7.110890544465011e-09,11.079815955537336,-0.012234541564151878,0.0
4,1,0.0873383218223026,7.110890544465011e-09,11.079815955537336,0.28455919466413093,0.0
5,0,0.0873383218223026,7.110890544465011e-09,11.079815955537336,-0.012234541564151874,0.0
5,1,0.0873383218223026,7.110890544465011e-09,11.079815955537336,0.2845591946641308,0.0
6,0,0.0873383218223026,7.110890544465011e-09,11.079815955537336,-0.012234541564151873,0.0
6,1,0.0873383218223026,7.110890544465011e-09,11.079815955537336,0.28455919466413093,0.0
7,0,0.0873383218223026,7.110890544465011e-09,11.079815955537336,-0.01223454156415187,0.0
7,1,0.0873383218223026,7.110890544465011e-09,11.079815955537336,0.28455919466413077,0.0
8,0,0.0873383218223026,7.110890544465011e-09,11.079815955537336,-0.012234541564151866,0.0
8,1,0.0873383218223026,7.110890544465011e-09,11.079815955537336,0.28455919466413077,0.0
9,0,0.0873383218223026,7.110890544465011e-09,11.079815955537336,-0.012234541564151864,0.0
9,1,0.0873383218223026,7.110890544465011e-09,11.079815955537336,0.2845591946641307,0.0
10,0,0.0873383218223026,7.110890544465011e-09,11.079815955537336,-0.01223454156415186,0.0
10,1,0.0873383218223026,7.110890544465011e-09,11.079815955537336,0.2845591946641305,0.0
11,0,0.0873383218223026,7.110890544465011e-09,11.079815955537336,-0.012234541564151859,0.0
11,1,0.0873383218223026,7.110890544465011e-09,11.079815955537336,0.28455919466413065,0.0
12,0,0.0873383218223026,7.110890544465011e-09,11.079815955537336,-0.012234541564151855,0.0
12,1,0.0873383218223026,7.110890544465011e-09,11.079815955537336,0.28455919466413043,0.0
13,0,0.0873383218223026,7.110890544465011e-09,11.079815955537336,-0.012234541564151854,0.0
13,1,0.0873383218223026,7.110890544465011e-09,11.079815955537336,0.2845591946641303,0.0
